iter	Passed	Remaining
0	140	140719
1	141	70670
2	142	47251
3	142	35544
4	143	28523
5	143	23838
6	144	20487
7	144	17978
8	145	16029
9	146	14469
10	146	13192
11	147	12136
12	148	11237
13	148	10466
14	149	9801
15	149	9216
16	150	8701
17	151	8246
18	151	7840
19	152	7471
20	153	7138
21	153	6832
22	154	6556
23	154	6301
24	155	6064
25	156	5846
26	156	5645
27	157	5458
28	157	5284
29	158	5122
30	159	4972
31	159	4830
32	160	4697
33	160	4571
34	161	4452
35	162	4341
36	162	4236
37	163	4134
38	164	4041
39	164	3949
40	165	3863
41	165	3779
42	166	3700
43	166	3623
44	167	3550
45	167	3481
46	168	3414
47	169	3352
48	169	3291
49	170	3233
50	170	3180
51	171	3126
52	172	3074
53	172	3025
54	173	2975
55	173	2929
56	174	2885
57	174	2842
58	175	2800
59	176	2759
60	176	2721
61	177	2687
62	178	2651
63	178	2615
64	179	2581
65	180	2548
66	180	2517
67	181	2482
68	181	2452
69	182	2421
70	182	2392
71	183	2363
72	183	2336
73	184	2310
74	185	2284
75	185	2260
76	186	2237
77	187	2212
78	187	2189
79	188	2167
80	189	2144
81	189	2122
82	190	2101
83	190	2080
84	191	2057
85	191	2038
86	192	2017
87	192	1999
88	193	1981
89	194	1963
90	198	1987
91	202	2000
92	204	1994
93	205	1985
94	207	1973
95	208	1961
96	209	1948
97	210	1935
98	211	1921
99	211	1907
100	212	1894
101	213	1877
102	213	1862
103	214	1847
104	215	1833
105	215	1819
106	216	1806
107	216	1791
108	217	1778
109	218	1764
110	218	1751
111	219	1738
112	219	1725
113	220	1713
114	221	1701
115	221	1688
116	222	1676
117	222	1665
118	223	1653
119	223	1642
120	224	1631
121	225	1620
122	225	1607
123	225	1596
124	226	1586
125	227	1576
126	227	1565
127	228	1554
128	228	1544
129	229	1535
130	230	1526
131	230	1517
132	231	1508
133	231	1498
134	232	1489
135	233	1480
136	233	1472
137	234	1462
138	234	1454
139	235	1445
140	235	1437
141	236	1429
142	237	1421
143	237	1414
144	238	1407
145	239	1399
146	239	1391
147	240	1384
148	241	1376
149	241	1369
150	242	1361
151	242	1354
152	243	1346
153	243	1339
154	244	1332
155	244	1325
156	245	1318
157	246	1311
158	246	1304
159	247	1298
160	247	1291
161	248	1285
162	249	1278
163	249	1272
164	250	1266
165	250	1259
166	251	1253
167	251	1247
168	252	1242
169	253	1236
170	253	1230
171	254	1224
172	255	1219
173	255	1213
174	256	1208
175	256	1202
176	257	1197
177	258	1191
178	258	1186
179	259	1181
180	259	1174
181	260	1169
182	260	1164
183	261	1159
184	262	1154
185	262	1149
186	263	1144
187	263	1139
188	264	1135
189	265	1130
190	265	1126
191	267	1126
192	275	1153
193	278	1158
194	280	1159
195	282	1158
196	283	1157
197	285	1155
198	286	1152
199	287	1148
200	287	1144
201	288	1140
202	289	1135
203	290	1131
204	290	1127
