iter	Passed	Remaining
0	134	134843
1	135	67767
2	136	45362
3	137	34149
4	137	27438
5	138	22967
6	139	19794
7	140	17407
8	141	15559
9	142	14072
10	142	12853
11	143	11830
12	144	10950
13	144	10195
14	145	9541
15	145	8966
16	146	8462
17	146	8012
18	147	7609
19	147	7247
20	148	6919
21	148	6621
22	149	6349
23	150	6100
24	150	5871
25	151	5659
26	151	5462
27	152	5280
28	152	5110
29	153	4954
30	154	4815
31	154	4679
32	155	4549
33	155	4427
34	156	4313
35	156	4203
36	157	4101
37	158	4004
38	158	3912
39	159	3823
40	159	3739
41	160	3659
42	160	3582
43	161	3509
44	162	3438
45	162	3371
46	163	3306
47	163	3245
48	164	3186
49	164	3129
50	165	3075
51	165	3022
52	166	2972
53	166	2923
54	167	2882
55	168	2839
56	169	2796
57	169	2755
58	170	2715
59	170	2675
60	171	2637
61	171	2599
62	172	2563
63	172	2528
64	173	2494
65	173	2461
66	174	2429
67	174	2398
68	175	2367
69	176	2338
70	176	2309
71	177	2281
72	177	2254
73	178	2228
74	178	2202
75	179	2177
76	179	2153
77	180	2129
78	180	2106
79	181	2084
80	181	2064
81	182	2045
82	183	2022
83	183	2004
84	184	1984
85	184	1965
86	185	1946
87	186	1928
88	186	1909
89	187	1891
90	187	1874
91	188	1856
92	188	1839
93	189	1823
94	189	1807
95	190	1791
96	190	1775
97	191	1759
98	191	1744
99	192	1730
100	192	1715
101	193	1701
102	193	1687
103	194	1674
104	194	1660
105	195	1647
106	195	1634
107	196	1622
108	196	1610
109	197	1599
110	198	1588
111	198	1577
112	199	1566
113	200	1555
114	200	1544
115	201	1534
116	201	1522
117	202	1512
118	202	1502
119	203	1492
120	204	1482
121	204	1472
122	205	1462
123	205	1453
124	206	1443
125	206	1434
126	207	1425
127	207	1416
128	208	1408
129	209	1399
130	209	1391
131	210	1382
132	210	1374
133	211	1365
134	211	1357
135	212	1351
136	213	1344
137	214	1336
138	214	1329
139	215	1322
140	215	1314
141	216	1306
142	216	1299
143	217	1291
144	217	1284
145	218	1277
146	218	1269
147	219	1262
148	219	1255
149	220	1248
150	220	1242
151	221	1235
152	221	1228
153	222	1222
154	222	1215
155	223	1209
156	223	1202
157	224	1196
158	225	1190
159	225	1184
160	225	1177
161	226	1171
162	227	1166
163	227	1160
164	228	1156
165	229	1150
166	229	1145
167	230	1140
168	230	1135
169	231	1129
170	231	1124
